,@BBCNews,@CBSNews,@CNN,@FoxNews,@NYT,Date
0,-0.1027,0.6103,0.0,0.0258,0.0,03-15-2018
1,-0.6369,-0.1779,-0.2263,-0.3182,0.0,03-15-2018
2,0.0258,-0.6124,0.0,0.1531,0.0,03-15-2018
3,-0.0772,-0.2732,0.0,-0.8555,0.3818,03-15-2018
4,-0.34,0.0,-0.2732,0.0,0.0,03-15-2018
5,0.0,-0.6597,0.0,-0.4588,0.0,03-15-2018
6,-0.5719,-0.5267,0.0,0.0,0.0,03-15-2018
7,-0.7506,-0.886,-0.7592,-0.802,0.0,03-15-2018
8,-0.6249,0.0,0.0,0.0,-0.4404,03-15-2018
9,-0.5423,-0.4404,-0.2732,0.0,0.0258,03-15-2018
10,0.0,0.0772,-0.2263,0.0,-0.6124,03-15-2018
11,0.0,-0.7506,0.015,-0.5994,-0.5423,03-15-2018
12,0.296,-0.6486,-0.296,0.0,-0.34,03-15-2018
13,0.0,-0.8807,0.6926,-0.34,0.5719,03-15-2018
14,0.0,0.4754,-0.4404,0.6597,0.0,03-15-2018
15,0.0,-0.9246,0.0,0.4019,0.5106,03-15-2018
16,0.5106,-0.6597,0.5413,0.296,0.0,03-15-2018
17,0.0,0.1531,0.5598,-0.5267,0.0,03-15-2018
18,0.0258,-0.4019,-0.296,0.0,0.128,03-15-2018
19,-0.2732,0.0,0.8625,0.0,-0.128,03-15-2018
20,-0.2263,-0.2732,0.0,0.0,-0.34,03-15-2018
21,-0.1531,-0.4939,0.4404,0.0772,0.0,03-15-2018
22,-0.296,0.1779,0.1531,-0.743,0.2023,03-15-2018
23,-0.8402,0.0,0.0,-0.296,0.0,03-15-2018
24,0.0,-0.9081,0.2023,-0.4854,0.5267,03-15-2018
25,0.0,-0.5574,-0.6486,-0.3412,0.4215,03-15-2018
26,0.4417,-0.872,-0.2263,-0.4576,0.1779,03-15-2018
27,0.3612,0.0,0.0,-0.6597,-0.8316,03-15-2018
28,-0.743,0.4404,0.5994,-0.2732,0.34,03-15-2018
29,-0.4404,-0.5719,-0.3628,-0.128,-0.1531,03-15-2018
30,-0.296,-0.128,-0.4215,0.4767,0.4404,03-15-2018
31,-0.4767,-0.4939,-0.25,0.0,-0.7096,03-15-2018
32,-0.4588,-0.34,0.0,-0.7783,0.0,03-15-2018
33,0.0,-0.5106,0.0,0.0,-0.2263,03-15-2018
34,-0.6369,0.0516,-0.8481,0.0,0.4588,03-15-2018
35,0.0772,-0.4939,0.0,0.0,-0.3818,03-15-2018
36,-0.1027,-0.25,0.34,0.0,0.0,03-15-2018
37,-0.8225,-0.1779,0.0,0.2263,-0.2732,03-15-2018
38,-0.8934,-0.34,0.0,-0.296,0.4215,03-15-2018
39,-0.6908,0.4019,0.0,0.0,0.0,03-15-2018
40,0.5106,-0.6597,0.5574,0.0,0.0,03-15-2018
41,-0.5362,-0.296,-0.5994,0.0,0.0,03-15-2018
42,-0.4767,0.0,0.3182,-0.7717,0.0,03-15-2018
43,-0.6369,-0.25,0.0,0.0,-0.3818,03-15-2018
44,-0.7579,0.0,-0.5267,-0.5719,0.0772,03-15-2018
45,-0.4767,0.0,0.0,-0.3182,0.836,03-15-2018
46,-0.7964,0.0,0.0,-0.4939,-0.5106,03-15-2018
47,-0.0644,-0.8689,-0.6369,-0.128,0.2023,03-15-2018
48,0.1027,-0.2144,0.0,-0.0258,-0.34,03-15-2018
49,-0.7269,-0.34,0.4939,0.0,0.0,03-15-2018
50,-0.4767,0.2023,-0.2263,0.0,0.0,03-15-2018
51,0.0,-0.3182,-0.4215,-0.4588,-0.5574,03-15-2018
52,-0.3818,0.7902,0.0,-0.8957,0.0,03-15-2018
53,-0.2732,-0.6486,0.4939,-0.4404,0.0,03-15-2018
54,0.0,-0.7003,0.0,0.0,0.0,03-15-2018
55,0.0,0.25,-0.5267,0.0,0.0,03-15-2018
56,-0.8176,-0.4939,-0.4588,0.0,0.3818,03-15-2018
57,-0.3182,-0.4939,0.0,0.0,0.0,03-15-2018
58,-0.875,-0.4939,-0.6908,0.0,0.0,03-15-2018
59,0.0754,-0.2732,0.0,-0.7096,0.0,03-15-2018
60,-0.4215,-0.4939,0.0,-0.4019,0.0,03-15-2018
61,-0.1027,-0.296,0.1459,0.0,0.0,03-15-2018
62,-0.4404,-0.6486,-0.7269,-0.3182,0.0,03-15-2018
63,0.1877,0.0,-0.2732,0.6369,0.3612,03-15-2018
64,-0.7717,-0.6808,0.0,-0.8555,0.25,03-15-2018
65,-0.6369,0.0,0.0,0.296,-0.25,03-15-2018
66,-0.6369,-0.3182,0.0,0.6597,0.0,03-15-2018
